Subject,NEOFAC_N,NEOFAC_E,NEOFAC_O,NEOFAC_C,NEOFAC_A
170631,7.0,44.0,24.0,41.0,36.0
171330,16.0,31.0,41.0,29.0,29.0
171532,22.0,28.0,29.0,40.0,23.0
171633,16.0,34.0,26.0,40.0,36.0
172029,22.0,28.0,24.0,34.0,28.0
172130,17.0,33.0,26.0,40.0,35.0
172433,21.0,32.0,30.0,33.0,39.0
172534,16.0,27.0,37.0,34.0,21.0
172938,18.0,31.0,21.0,36.0,30.0
173334,22.0,22.0,35.0,26.0,35.0
173435,19.0,36.0,25.0,31.0,37.0
173536,16.0,32.0,24.0,34.0,33.0
173637,13.0,31.0,25.0,37.0,42.0
173738,20.0,28.0,28.0,27.0,24.0
173839,16.0,32.0,32.0,37.0,42.0
173940,12.0,20.0,32.0,38.0,35.0
174841,1.0,40.0,40.0,46.0,45.0
175035,18.0,33.0,25.0,31.0,19.0
175136,12.0,34.0,24.0,39.0,31.0
175237,15.0,30.0,32.0,35.0,25.0
175338,24.0,32.0,36.0,28.0,29.0
175540,10.0,34.0,29.0,19.0,31.0
175742,8.0,39.0,30.0,48.0,33.0
176037,21.0,30.0,35.0,33.0,36.0
176239,19.0,27.0,27.0,15.0,24.0
176441,14.0,35.0,28.0,39.0,29.0
176744,10.0,34.0,23.0,41.0,37.0
176845,8.0,36.0,28.0,29.0,47.0
177140,16.0,26.0,32.0,35.0,38.0
177241,9.0,35.0,30.0,38.0,38.0
177645,12.0,30.0,27.0,39.0,33.0
178142,23.0,27.0,32.0,34.0,34.0
178243,25.0,25.0,24.0,33.0,29.0
178647,19.0,29.0,24.0,28.0,36.0
178748,14.0,29.0,26.0,39.0,38.0
178849,18.0,29.0,26.0,27.0,30.0
178950,28.0,18.0,27.0,36.0,30.0
179245,27.0,28.0,16.0,35.0,34.0
179346,5.0,34.0,21.0,43.0,43.0
180129,43.0,18.0,22.0,34.0,10.0
180230,7.0,36.0,36.0,36.0,37.0
180432,15.0,28.0,29.0,39.0,37.0
180533,15.0,32.0,27.0,36.0,37.0
180735,21.0,32.0,21.0,34.0,39.0
180836,15.0,24.0,30.0,36.0,34.0
180937,25.0,19.0,27.0,32.0,18.0
181131,21.0,29.0,33.0,32.0,38.0
181232,11.0,33.0,34.0,41.0,40.0
181636,11.0,31.0,22.0,41.0,33.0
182032,21.0,30.0,21.0,33.0,31.0
182436,20.0,22.0,24.0,21.0,42.0
183034,11.0,32.0,29.0,29.0,38.0
185038,25.0,25.0,31.0,33.0,37.0
185341,20.0,26.0,23.0,38.0,36.0
